series,t_seconds,rss_mb
jemalloc,6.9,281.852
jemalloc,7.0,281.852
jemalloc,7.1,281.852
jemalloc,7.2,281.852
jemalloc,7.3,281.852
jemalloc,7.4,281.852
jemalloc,7.5,281.852
jemalloc,7.6,281.852
jemalloc,7.7,281.852
jemalloc,7.8,281.852
jemalloc,7.9,281.852
jemalloc,8.0,281.852
jemalloc,8.1,281.852
jemalloc,8.2,281.852
jemalloc,8.3,281.852
jemalloc,8.4,281.852
jemalloc,8.5,281.852
jemalloc,8.6,281.852
jemalloc,8.7,281.852
jemalloc,8.8,281.852
jemalloc,8.9,281.852
jemalloc,9.0,281.852
jemalloc,9.1,281.852
jemalloc,9.2,281.852
jemalloc,9.3,281.852
jemalloc,9.4,281.852
jemalloc,9.5,281.852
jemalloc,9.6,281.852
jemalloc,9.7,281.852
jemalloc,9.8,281.852
jemalloc,9.9,281.852
jemalloc,10.0,281.852
jemalloc-purge,0.0,281.824
jemalloc-purge,0.1,71.957
jemalloc-purge,0.2,71.957
jemalloc-purge,0.3,71.957
jemalloc-purge,0.4,71.957
jemalloc-purge,0.5,71.957
jemalloc-purge,0.6,71.957
jemalloc-purge,0.7,71.957
jemalloc-purge,0.8,71.957
jemalloc-purge,0.9,71.957
jemalloc-purge,1.0,71.957
jemalloc-purge,1.1,71.957
jemalloc-purge,1.2,71.957
jemalloc-purge,1.3,71.957
jemalloc-purge,1.4,71.957
jemalloc-purge,1.5,71.957
jemalloc-purge,1.6,71.957
jemalloc-purge,1.7,71.957
jemalloc-purge,1.8,71.957
jemalloc-purge,1.9,71.957
jemalloc-purge,2.0,71.957
jemalloc-purge,2.1,71.957
jemalloc-purge,2.2,71.957
jemalloc-purge,2.3,71.957
jemalloc-purge,2.4,71.957
jemalloc-purge,2.5,71.957
jemalloc-purge,2.6,71.957
jemalloc-purge,2.7,71.957
jemalloc-purge,2.8,71.957
jemalloc-purge,2.9,71.957
jemalloc-purge,3.0,71.957
jemalloc-purge,3.1,71.957
jemalloc-purge,3.2,71.957
jemalloc-purge,3.3,71.957
jemalloc-purge,3.4,71.957
jemalloc-purge,3.5,71.957
jemalloc-purge,3.6,71.957
jemalloc-purge,3.7,71.957
jemalloc-purge,3.8,71.957
jemalloc-purge,3.9,71.957
jemalloc-purge,4.0,71.957
jemalloc-purge,4.1,71.957
jemalloc-purge,4.2,71.957
jemalloc-purge,4.3,71.957
jemalloc-purge,4.4,71.957
jemalloc-purge,4.5,71.957
jemalloc-purge,4.6,71.957
jemalloc-purge,4.7,71.957
jemalloc-purge,4.8,71.957
jemalloc-purge,4.9,71.957
jemalloc-purge,5.0,71.957
jemalloc-purge,5.1,71.957
jemalloc-purge,5.2,71.957
jemalloc-purge,5.3,71.957
jemalloc-purge,5.4,71.957
jemalloc-purge,5.5,71.957
jemalloc-purge,5.6,71.957
jemalloc-purge,5.7,71.957
jemalloc-purge,5.8,71.957
jemalloc-purge,5.9,71.957
jemalloc-purge,6.0,71.957
jemalloc-purge,6.1,71.957
jemalloc-purge,6.2,71.957
jemalloc-purge,6.3,71.957
jemalloc-purge,6.4,71.957
jemalloc-purge,6.5,71.957
jemalloc-purge,6.6,71.957
jemalloc-purge,6.7,71.957
jemalloc-purge,6.8,71.957
jemalloc-purge,6.9,71.957
jemalloc-purge,7.0,71.957
jemalloc-purge,7.1,71.957
jemalloc-purge,7.2,71.957
jemalloc-purge,7.3,71.957
jemalloc-purge,7.4,71.957
jemalloc-purge,7.5,71.957
jemalloc-purge,7.6,71.957
jemalloc-purge,7.7,71.957
jemalloc-purge,7.8,71.957
jemalloc-purge,7.9,71.957
jemalloc-purge,8.0,71.957
jemalloc-purge,8.1,71.957
jemalloc-purge,8.2,71.957
jemalloc-purge,8.3,71.957
jemalloc-purge,8.4,71.957
jemalloc-purge,8.5,71.957
jemalloc-purge,8.6,71.957
jemalloc-purge,8.7,71.957
jemalloc-purge,8.8,71.957
jemalloc-purge,8.9,71.957
jemalloc-purge,9.0,71.957
jemalloc-purge,9.1,71.957
jemalloc-purge,9.2,71.957
jemalloc-purge,9.3,71.957
jemalloc-purge,9.4,71.957
jemalloc-purge,9.5,71.957
jemalloc-purge,9.6,71.957
jemalloc-purge,9.7,71.957
jemalloc-purge,9.8,71.957
jemalloc-purge,9.9,71.957
jemalloc-purge,10.0,71.957
bun-mimalloc,0.0,278.070
